Cluster  	  Outcome.Grp  	  Outcome  	  Trt.Grp  	  Count  	  Exposure  
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	87	160133.691993215
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	103	163224.6442895
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	80	145054.364304538
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	63	149107.198265057
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	79	129739.813663956
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	70	137401.066682662
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	58	117304.777546134
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	69	123797.253197418
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	61	106633.271556294
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	63	112192.759970163
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	40	97372.1249333584
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	63	100324.707858784
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	53	88758.880774084
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	43	91325.5423788991
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	38	81057.7647089225
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	46	83412.2031401612
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	37	73050.4099862848
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	36	75781.3614246169
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_1  	1	37	66532.578706588
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_1  	2	35	69989.299076941
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	104	158648.576527583
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	83	167035.191499457
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	84	140822.560962724
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	77	151648.276005237
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	64	126931.022553814
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	93	134910.484042842
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	58	116650.801762957
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	67	121514.474030964
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	58	105746.776669852
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	69	108235.350435933
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	43	96346.7306779737
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	51	98664.6711291847
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	56	87320.0068572441
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	65	87637.370104625
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	39	78723.3542862953
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	50	77514.7680212419
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	48	70491.7029037987
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	40	69118.9960716838
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_10  	1	35	63624.9944530196
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_10  	2	31	62965.7089680839
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	112	158070.248492181
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	78	167083.370274003
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	80	139656.94298546
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	72	152952.794353993
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	73	126236.956902744
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	87	138348.714556742
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	55	114848.710051341
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	57	124803.77909423
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	57	103733.566606671
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	54	114865.01913034
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	43	95072.7125269611
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	66	103840.707433749
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	46	86861.3689959768
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	56	92867.7492393457
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	40	78735.2424616143
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	48	82943.4506845301
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	52	70617.3656639616
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	44	75109.8485199128
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_2  	1	29	63708.1586006811
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_2  	2	29	68553.7945863458
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	75	160773.042298742
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	96	164387.842625365
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	74	147353.929405044
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	81	148562.025258057
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	75	132462.558744209
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	74	134355.043727592
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	73	119772.02103647
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	63	123303.128083777
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	59	107357.522894592
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	65	110537.103894105
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	51	98054.3931812322
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	69	98562.4417757699
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	47	88820.3914244929
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	46	88124.7798253563
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	46	80208.8350426035
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	47	79777.3629795084
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	43	72985.9937925362
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	44	71269.1039215626
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_3  	1	34	65994.3712701826
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_3  	2	39	63052.2105182929
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	97	158615.036624949
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	99	164059.258524158
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	85	142325.467328033
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	98	147003.453734298
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	73	127768.394228097
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	78	130221.740622388
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	59	115760.645266249
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	66	117266.520211887
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	58	104283.660590281
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	56	107452.610893266
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	57	94055.4467757812
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	69	94370.6655761781
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	42	84848.7335454362
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	53	83589.8704339195
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	50	75754.2870594579
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	37	75462.4260311668
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	34	69344.848841364
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	38	68838.5012163069
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_4  	1	32	62767.5205891441
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_4  	2	41	60954.4904712787
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	89	159440.059092905
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	89	165183.086094571
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	76	144246.56357404
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	80	150403.784215104
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	72	130597.702246597
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	78	135483.020796711
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	79	116741.444929636
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	65	122834.627866846
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	50	105054.704063069
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	64	111158.357541715
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	51	95531.3976564679
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	60	99546.9514133412
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	51	86348.4972283357
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	44	90438.8161744621
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	52	77297.1104927561
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	56	81196.9017247934
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	35	69272.296671082
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	52	71624.943799593
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_5  	1	44	62551.7220781363
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_5  	2	32	63959.060480121
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	94	158970.262985856
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	100	163490.09997257
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	81	143233.434342137
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	78	148019.475130111
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	68	128701.847240039
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	72	134369.298656152
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	48	118102.160720969
540.0-720.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	53	123524.626136085
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	71	107913.462302739
720.0-900.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	56	112997.128473418
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	56	95429.3997006014
900.0-1080.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	47	103218.468368007
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	44	87273.955893092
1080.0-1260.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	46	95752.182729991
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	41	79301.3698228657
1260.0-1440.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	49	86696.1500516216
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	43	72180.8211616928
1440.0-1620.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	49	78006.353030643
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_6  	1	27	65404.0884496745
1620.0-1800.0  	  Bdy-sys_1  	  Adv-Ev_6  	2	35	69528.1788591119
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_7  	1	78	159977.92457939
0.0-180.0  	  Bdy-sys_1  	  Adv-Ev_7  	2	83	166549.816917786
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_7  	1	84	145875.034482814
180.0-360.0  	  Bdy-sys_1  	  Adv-Ev_7  	2	97	149789.953301623
360.0-540.0  	  Bdy-sys_1  	  Adv-Ev_7  	1	69	131529.715352397
