"Cluster" "Outcome.Grp" "Outcome" "Trt.Grp" "Count" "Exposure"
"900.0-1080.0" "Bdy-sys_13" "Adv-Ev_132" 3 15 11465.4981327307
"360.0-540.0" "Bdy-sys_13" "Adv-Ev_129" 3 79 116288.493320376
"360.0-540.0" "Bdy-sys_12" "Adv-Ev_114" 4 58 124649.35320404
"360.0-540.0" "Bdy-sys_3" "Adv-Ev_25" 2 56 103101.739575926
"360.0-540.0" "Bdy-sys_14" "Adv-Ev_137" 4 67 117786.74418289
"0.0-180.0" "Bdy-sys_4" "Adv-Ev_30" 4 96 164452.583900139
"0.0-180.0" "Bdy-sys_4" "Adv-Ev_26" 4 84 165495.290078956
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_106" 2 38 77836.3638558414
"180.0-360.0" "Bdy-sys_4" "Adv-Ev_33" 1 73 146252.744449826
"360.0-540.0" "Bdy-sys_13" "Adv-Ev_124" 3 91 118508.384944476
"180.0-360.0" "Bdy-sys_6" "Adv-Ev_46" 4 63 152257.592762078
"720.0-900.0" "Bdy-sys_12" "Adv-Ev_109" 2 23 43173.043891561
"360.0-540.0" "Bdy-sys_13" "Adv-Ev_132" 3 62 114951.559486481
"720.0-900.0" "Bdy-sys_7" "Adv-Ev_54" 2 23 42444.8743484701
"360.0-540.0" "Bdy-sys_9" "Adv-Ev_70" 2 66 116678.835487045
"540.0-720.0" "Bdy-sys_14" "Adv-Ev_143" 2 42 75392.5248418951
"0.0-180.0" "Bdy-sys_10" "Adv-Ev_77" 4 89 165165.906905565
"720.0-900.0" "Bdy-sys_8" "Adv-Ev_64" 2 20 43033.3569969648
"900.0-1080.0" "Bdy-sys_5" "Adv-Ev_37" 2 7 13580.1743847832
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_94" 1 8 11387.5599878766
"900.0-1080.0" "Bdy-sys_8" "Adv-Ev_63" 1 4 12810.4288175824
"180.0-360.0" "Bdy-sys_11" "Adv-Ev_103" 3 86 151307.105454439
"540.0-720.0" "Bdy-sys_12" "Adv-Ev_110" 4 31 75677.8740129145
"720.0-900.0" "Bdy-sys_13" "Adv-Ev_125" 4 33 45847.6752195824
"360.0-540.0" "Bdy-sys_10" "Adv-Ev_83" 2 58 117112.602917496
"360.0-540.0" "Bdy-sys_8" "Adv-Ev_64" 1 62 116627.610697757
"180.0-360.0" "Bdy-sys_1" "Adv-Ev_2" 3 82 152952.794353993
"180.0-360.0" "Bdy-sys_11" "Adv-Ev_108" 2 85 150365.42287798
"360.0-540.0" "Bdy-sys_10" "Adv-Ev_87" 3 69 119297.372998928
"900.0-1080.0" "Bdy-sys_4" "Adv-Ev_33" 2 5 12802.2887354769
"360.0-540.0" "Bdy-sys_15" "Adv-Ev_149" 1 68 115201.350941227
"360.0-540.0" "Bdy-sys_13" "Adv-Ev_118" 4 56 119216.648785405
"540.0-720.0" "Bdy-sys_12" "Adv-Ev_111" 4 47 74891.1934913506
"900.0-1080.0" "Bdy-sys_3" "Adv-Ev_22" 3 13 10853.091495738
"720.0-900.0" "Bdy-sys_13" "Adv-Ev_124" 3 39 43126.3556273529
"540.0-720.0" "Bdy-sys_13" "Adv-Ev_123" 4 37 77616.8383411768
"180.0-360.0" "Bdy-sys_12" "Adv-Ev_112" 3 105 150555.645951076
"540.0-720.0" "Bdy-sys_5" "Adv-Ev_35" 1 36 76370.6306630491
"0.0-180.0" "Bdy-sys_11" "Adv-Ev_102" 3 99 166811.591959848
"540.0-720.0" "Bdy-sys_6" "Adv-Ev_48" 1 51 80445.8799249573
"720.0-900.0" "Bdy-sys_9" "Adv-Ev_69" 2 21 41578.8709095783
"360.0-540.0" "Bdy-sys_9" "Adv-Ev_71" 4 73 119224.053834079
"360.0-540.0" "Bdy-sys_12" "Adv-Ev_113" 1 62 112306.016617234
"0.0-180.0" "Bdy-sys_9" "Adv-Ev_71" 2 103 163974.010951155
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_91" 2 20 46444.6829626858
"0.0-180.0" "Bdy-sys_12" "Adv-Ev_115" 3 94 165731.805656976
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_104" 3 51 74308.9900984464
"720.0-900.0" "Bdy-sys_12" "Adv-Ev_112" 2 28 42536.2155748837
"900.0-1080.0" "Bdy-sys_10" "Adv-Ev_89" 1 7 11501.9796346465
"360.0-540.0" "Bdy-sys_5" "Adv-Ev_40" 2 61 117229.837175149
"180.0-360.0" "Bdy-sys_6" "Adv-Ev_43" 2 85 146845.184567059
"720.0-900.0" "Bdy-sys_11" "Adv-Ev_108" 1 30 40543.9386392318
"900.0-1080.0" "Bdy-sys_11" "Adv-Ev_102" 1 9 12662.1996025696
"900.0-1080.0" "Bdy-sys_10" "Adv-Ev_80" 1 5 12742.729326086
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_103" 2 37 79395.6244193888
"360.0-540.0" "Bdy-sys_5" "Adv-Ev_36" 1 64 114881.10630053
"0.0-180.0" "Bdy-sys_1" "Adv-Ev_3" 3 106 164387.842625365
"360.0-540.0" "Bdy-sys_9" "Adv-Ev_73" 2 56 117632.525748513
"540.0-720.0" "Bdy-sys_11" "Adv-Ev_93" 1 42 74794.5487886653
"0.0-180.0" "Bdy-sys_13" "Adv-Ev_129" 2 80 165957.220490045
"540.0-720.0" "Bdy-sys_13" "Adv-Ev_122" 4 51 80078.2318431539
"540.0-720.0" "Bdy-sys_5" "Adv-Ev_40" 4 49 76107.1242546126
"0.0-180.0" "Bdy-sys_5" "Adv-Ev_38" 2 99 164555.102567712
"0.0-180.0" "Bdy-sys_13" "Adv-Ev_132" 1 96 158498.43286764
"540.0-720.0" "Bdy-sys_13" "Adv-Ev_131" 4 35 76479.8263105244
