Cluster	Outcome.Grp	Outcome	Trt.Grp	Count	Exposure
0.0-180.0	Bdy-sys_1	Adv-Ev_1	1	87	160133.691993215
0.0-180.0	Bdy-sys_1	Adv-Ev_1	2	103	163224.6442895
0.0-180.0	Bdy-sys_1	Adv-Ev_1	3	113	163224.6442895
0.0-180.0	Bdy-sys_1	Adv-Ev_1	4	103	163224.6442895
180.0-360.0	Bdy-sys_1	Adv-Ev_1	1	80	145054.364304538
180.0-360.0	Bdy-sys_1	Adv-Ev_1	2	63	149107.198265057
180.0-360.0	Bdy-sys_1	Adv-Ev_1	3	73	149107.198265057
180.0-360.0	Bdy-sys_1	Adv-Ev_1	4	63	149107.198265057
360.0-540.0	Bdy-sys_1	Adv-Ev_1	1	71	114792.381244556
360.0-540.0	Bdy-sys_1	Adv-Ev_1	2	61	120634.966506945
360.0-540.0	Bdy-sys_1	Adv-Ev_1	3	71	120634.966506945
360.0-540.0	Bdy-sys_1	Adv-Ev_1	4	61	120634.966506945
540.0-720.0	Bdy-sys_1	Adv-Ev_1	1	34	74648.9007535142
540.0-720.0	Bdy-sys_1	Adv-Ev_1	2	47	76697.2180531145
540.0-720.0	Bdy-sys_1	Adv-Ev_1	3	57	76697.2180531145
540.0-720.0	Bdy-sys_1	Adv-Ev_1	4	47	76697.2180531145
720.0-900.0	Bdy-sys_1	Adv-Ev_1	1	27	41387.9465206234
720.0-900.0	Bdy-sys_1	Adv-Ev_1	2	16	42555.9945838742
720.0-900.0	Bdy-sys_1	Adv-Ev_1	3	26	42555.9945838742
720.0-900.0	Bdy-sys_1	Adv-Ev_1	4	16	42555.9945838742
900.0-1080.0	Bdy-sys_1	Adv-Ev_1	1	4	12214.7145679677
900.0-1080.0	Bdy-sys_1	Adv-Ev_1	2	8	13513.7503845156
900.0-1080.0	Bdy-sys_1	Adv-Ev_1	3	18	13513.7503845156
900.0-1080.0	Bdy-sys_1	Adv-Ev_1	4	8	13513.7503845156
0.0-180.0	Bdy-sys_1	Adv-Ev_10	1	104	158648.576527583
0.0-180.0	Bdy-sys_1	Adv-Ev_10	2	83	167035.191499457
0.0-180.0	Bdy-sys_1	Adv-Ev_10	3	93	167035.191499457
0.0-180.0	Bdy-sys_1	Adv-Ev_10	4	83	167035.191499457
180.0-360.0	Bdy-sys_1	Adv-Ev_10	1	84	140822.560962724
180.0-360.0	Bdy-sys_1	Adv-Ev_10	2	77	151648.276005237
180.0-360.0	Bdy-sys_1	Adv-Ev_10	3	87	151648.276005237
180.0-360.0	Bdy-sys_1	Adv-Ev_10	4	77	151648.276005237
360.0-540.0	Bdy-sys_1	Adv-Ev_10	1	57	112694.245711917
360.0-540.0	Bdy-sys_1	Adv-Ev_10	2	79	117934.554154975
360.0-540.0	Bdy-sys_1	Adv-Ev_10	3	89	117934.554154975
360.0-540.0	Bdy-sys_1	Adv-Ev_10	4	79	117934.554154975
540.0-720.0	Bdy-sys_1	Adv-Ev_10	1	36	76028.0534264011
540.0-720.0	Bdy-sys_1	Adv-Ev_10	2	46	76452.832470227
540.0-720.0	Bdy-sys_1	Adv-Ev_10	3	56	76452.832470227
540.0-720.0	Bdy-sys_1	Adv-Ev_10	4	46	76452.832470227
720.0-900.0	Bdy-sys_1	Adv-Ev_10	1	20	41574.545671506
720.0-900.0	Bdy-sys_1	Adv-Ev_10	2	25	42990.7491225651
720.0-900.0	Bdy-sys_1	Adv-Ev_10	3	35	42990.7491225651
720.0-900.0	Bdy-sys_1	Adv-Ev_10	4	25	42990.7491225651
900.0-1080.0	Bdy-sys_1	Adv-Ev_10	1	8	13539.3466792443
900.0-1080.0	Bdy-sys_1	Adv-Ev_10	2	10	13205.7898249379
900.0-1080.0	Bdy-sys_1	Adv-Ev_10	3	20	13205.7898249379
900.0-1080.0	Bdy-sys_1	Adv-Ev_10	4	10	13205.7898249379
0.0-180.0	Bdy-sys_1	Adv-Ev_2	1	112	158070.248492181
0.0-180.0	Bdy-sys_1	Adv-Ev_2	2	78	167083.370274003
0.0-180.0	Bdy-sys_1	Adv-Ev_2	3	88	167083.370274003
0.0-180.0	Bdy-sys_1	Adv-Ev_2	4	78	167083.370274003
180.0-360.0	Bdy-sys_1	Adv-Ev_2	1	80	139656.94298546
180.0-360.0	Bdy-sys_1	Adv-Ev_2	2	72	152952.794353993
180.0-360.0	Bdy-sys_1	Adv-Ev_2	3	82	152952.794353993
180.0-360.0	Bdy-sys_1	Adv-Ev_2	4	72	152952.794353993
360.0-540.0	Bdy-sys_1	Adv-Ev_2	1	67	111493.488176485
360.0-540.0	Bdy-sys_1	Adv-Ev_2	2	82	120328.724635311
360.0-540.0	Bdy-sys_1	Adv-Ev_2	3	92	120328.724635311
360.0-540.0	Bdy-sys_1	Adv-Ev_2	4	82	120328.724635311
540.0-720.0	Bdy-sys_1	Adv-Ev_2	1	34	73893.1469894243
540.0-720.0	Bdy-sys_1	Adv-Ev_2	2	37	78305.518594294
540.0-720.0	Bdy-sys_1	Adv-Ev_2	3	47	78305.518594294
540.0-720.0	Bdy-sys_1	Adv-Ev_2	4	37	78305.518594294
720.0-900.0	Bdy-sys_1	Adv-Ev_2	1	22	40859.1485774517
720.0-900.0	Bdy-sys_1	Adv-Ev_2	2	18	45644.8623424232
720.0-900.0	Bdy-sys_1	Adv-Ev_2	3	28	45644.8623424232
720.0-900.0	Bdy-sys_1	Adv-Ev_2	4	18	45644.8623424232
900.0-1080.0	Bdy-sys_1	Adv-Ev_2	1	3	12749.0964575431
900.0-1080.0	Bdy-sys_1	Adv-Ev_2	2	5	14131.7345902101
900.0-1080.0	Bdy-sys_1	Adv-Ev_2	3	15	14131.7345902101
900.0-1080.0	Bdy-sys_1	Adv-Ev_2	4	5	14131.7345902101
0.0-180.0	Bdy-sys_1	Adv-Ev_3	1	75	160773.042298742
0.0-180.0	Bdy-sys_1	Adv-Ev_3	2	96	164387.842625365
0.0-180.0	Bdy-sys_1	Adv-Ev_3	3	106	164387.842625365
0.0-180.0	Bdy-sys_1	Adv-Ev_3	4	96	164387.842625365
180.0-360.0	Bdy-sys_1	Adv-Ev_3	1	74	147353.929405044
180.0-360.0	Bdy-sys_1	Adv-Ev_3	2	81	148562.025258057
180.0-360.0	Bdy-sys_1	Adv-Ev_3	3	91	148562.025258057
180.0-360.0	Bdy-sys_1	Adv-Ev_3	4	81	148562.025258057
360.0-540.0	Bdy-sys_1	Adv-Ev_3	1	67	117114.24229772
360.0-540.0	Bdy-sys_1	Adv-Ev_3	2	64	117321.95655291
360.0-540.0	Bdy-sys_1	Adv-Ev_3	3	74	117321.95655291
360.0-540.0	Bdy-sys_1	Adv-Ev_3	4	64	117321.95655291
540.0-720.0	Bdy-sys_1	Adv-Ev_3	1	47	77447.8852715742
540.0-720.0	Bdy-sys_1	Adv-Ev_3	2	37	77751.9130852074
540.0-720.0	Bdy-sys_1	Adv-Ev_3	3	47	77751.9130852074
540.0-720.0	Bdy-sys_1	Adv-Ev_3	4	37	77751.9130852074
720.0-900.0	Bdy-sys_1	Adv-Ev_3	1	24	41607.9990452597
720.0-900.0	Bdy-sys_1	Adv-Ev_3	2	31	44671.5537784429
720.0-900.0	Bdy-sys_1	Adv-Ev_3	3	41	44671.5537784429
720.0-900.0	Bdy-sys_1	Adv-Ev_3	4	31	44671.5537784429
900.0-1080.0	Bdy-sys_1	Adv-Ev_3	1	7	12353.604433706
900.0-1080.0	Bdy-sys_1	Adv-Ev_3	2	12	12311.0013024661
900.0-1080.0	Bdy-sys_1	Adv-Ev_3	3	22	12311.0013024661
900.0-1080.0	Bdy-sys_1	Adv-Ev_3	4	12	12311.0013024661
0.0-180.0	Bdy-sys_1	Adv-Ev_4	1	97	158615.036624949
0.0-180.0	Bdy-sys_1	Adv-Ev_4	2	99	164059.258524158
0.0-180.0	Bdy-sys_1	Adv-Ev_4	3	109	164059.258524158
0.0-180.0	Bdy-sys_1	Adv-Ev_4	4	99	164059.258524158
180.0-360.0	Bdy-sys_1	Adv-Ev_4	1	85	142325.467328033
180.0-360.0	Bdy-sys_1	Adv-Ev_4	2	98	147003.453734298
180.0-360.0	Bdy-sys_1	Adv-Ev_4	3	108	147003.453734298
180.0-360.0	Bdy-sys_1	Adv-Ev_4	4	98	147003.453734298
360.0-540.0	Bdy-sys_1	Adv-Ev_4	1	62	113053.434721247
360.0-540.0	Bdy-sys_1	Adv-Ev_4	2	66	113601.260640565
360.0-540.0	Bdy-sys_1	Adv-Ev_4	3	76	113601.260640565
360.0-540.0	Bdy-sys_1	Adv-Ev_4	4	66	113601.260640565
540.0-720.0	Bdy-sys_1	Adv-Ev_4	1	41	75944.9345128073
540.0-720.0	Bdy-sys_1	Adv-Ev_4	2	41	73622.312610434
540.0-720.0	Bdy-sys_1	Adv-Ev_4	3	51	73622.312610434
540.0-720.0	Bdy-sys_1	Adv-Ev_4	4	41	73622.312610434
720.0-900.0	Bdy-sys_1	Adv-Ev_4	1	21	42242.2066981986
720.0-900.0	Bdy-sys_1	Adv-Ev_4	2	24	43986.0209120193
720.0-900.0	Bdy-sys_1	Adv-Ev_4	3	34	43986.0209120193
720.0-900.0	Bdy-sys_1	Adv-Ev_4	4	24	43986.0209120193
900.0-1080.0	Bdy-sys_1	Adv-Ev_4	1	8	13256.6302842763
900.0-1080.0	Bdy-sys_1	Adv-Ev_4	2	9	12287.1744241729
900.0-1080.0	Bdy-sys_1	Adv-Ev_4	3	19	12287.1744241729
900.0-1080.0	Bdy-sys_1	Adv-Ev_4	4	9	12287.1744241729
0.0-180.0	Bdy-sys_1	Adv-Ev_5	1	89	159440.059092905
0.0-180.0	Bdy-sys_1	Adv-Ev_5	2	89	165183.086094571
0.0-180.0	Bdy-sys_1	Adv-Ev_5	3	99	165183.086094571
0.0-180.0	Bdy-sys_1	Adv-Ev_5	4	89	165183.086094571
180.0-360.0	Bdy-sys_1	Adv-Ev_5	1	76	144246.56357404
180.0-360.0	Bdy-sys_1	Adv-Ev_5	2	80	150403.784215104
180.0-360.0	Bdy-sys_1	Adv-Ev_5	3	90	150403.784215104
180.0-360.0	Bdy-sys_1	Adv-Ev_5	4	80	150403.784215104
360.0-540.0	Bdy-sys_1	Adv-Ev_5	1	66	115298.28396221
360.0-540.0	Bdy-sys_1	Adv-Ev_5	2	68	117990.338367416
360.0-540.0	Bdy-sys_1	Adv-Ev_5	3	78	117990.338367416
360.0-540.0	Bdy-sys_1	Adv-Ev_5	4	68	117990.338367416
540.0-720.0	Bdy-sys_1	Adv-Ev_5	1	49	75530.9348225066
540.0-720.0	Bdy-sys_1	Adv-Ev_5	2	38	75660.6982038741
540.0-720.0	Bdy-sys_1	Adv-Ev_5	3	48	75660.6982038741
540.0-720.0	Bdy-sys_1	Adv-Ev_5	4	38	75660.6982038741
720.0-900.0	Bdy-sys_1	Adv-Ev_5	1	23	41694.7577979591
720.0-900.0	Bdy-sys_1	Adv-Ev_5	2	22	43819.2478983516
720.0-900.0	Bdy-sys_1	Adv-Ev_5	3	32	43819.2478983516
720.0-900.0	Bdy-sys_1	Adv-Ev_5	4	22	43819.2478983516
900.0-1080.0	Bdy-sys_1	Adv-Ev_5	1	8	12924.0608116515
900.0-1080.0	Bdy-sys_1	Adv-Ev_5	2	10	12734.846044314
900.0-1080.0	Bdy-sys_1	Adv-Ev_5	3	20	12734.846044314
900.0-1080.0	Bdy-sys_1	Adv-Ev_5	4	10	12734.846044314
0.0-180.0	Bdy-sys_1	Adv-Ev_6	1	94	158970.262985856
0.0-180.0	Bdy-sys_1	Adv-Ev_6	2	100	163490.09997257
0.0-180.0	Bdy-sys_1	Adv-Ev_6	3	110	163490.09997257
0.0-180.0	Bdy-sys_1	Adv-Ev_6	4	100	163490.09997257
180.0-360.0	Bdy-sys_1	Adv-Ev_6	1	81	143233.434342137
180.0-360.0	Bdy-sys_1	Adv-Ev_6	2	78	148019.475130111
180.0-360.0	Bdy-sys_1	Adv-Ev_6	3	88	148019.475130111
180.0-360.0	Bdy-sys_1	Adv-Ev_6	4	78	148019.475130111
360.0-540.0	Bdy-sys_1	Adv-Ev_6	1	61	114281.875718763
360.0-540.0	Bdy-sys_1	Adv-Ev_6	2	65	116946.854031943
360.0-540.0	Bdy-sys_1	Adv-Ev_6	3	75	116946.854031943
360.0-540.0	Bdy-sys_1	Adv-Ev_6	4	65	116946.854031943
540.0-720.0	Bdy-sys_1	Adv-Ev_6	1	35	76602.1089381542
540.0-720.0	Bdy-sys_1	Adv-Ev_6	2	37	76963.479694294
540.0-720.0	Bdy-sys_1	Adv-Ev_6	3	47	76963.479694294
540.0-720.0	Bdy-sys_1	Adv-Ev_6	4	37	76963.479694294
720.0-900.0	Bdy-sys_1	Adv-Ev_6	1	26	41923.5250447763
720.0-900.0	Bdy-sys_1	Adv-Ev_6	2	22	44496.3950802564
720.0-900.0	Bdy-sys_1	Adv-Ev_6	3	32	44496.3950802564
720.0-900.0	Bdy-sys_1	Adv-Ev_6	4	22	44496.3950802564
900.0-1080.0	Bdy-sys_1	Adv-Ev_6	1	9	12429.6242790798
900.0-1080.0	Bdy-sys_1	Adv-Ev_6	2	7	12688.6688588696
900.0-1080.0	Bdy-sys_1	Adv-Ev_6	3	17	12688.6688588696
