"Cluster" "Trt.Grp" "Outcome.Grp" "Outcome" "Exposure" "Count"
"1" "M/0-64" 1 "I00-I99" "I00-99_Outcome1" 38990.0971584042 34
"2" "M/65-84" 1 "I00-I99" "I00-99_Outcome1" 62191.9216992178 58
"3" "M/85+" 1 "I00-I99" "I00-99_Outcome1" 38420.7629846947 48
"11" "M/0-64" 2 "I00-I99" "I00-99_Outcome1" 38965.1636459866 26
"12" "M/65-84" 2 "I00-I99" "I00-99_Outcome1" 62082.3944030577 49
"13" "M/85+" 2 "I00-I99" "I00-99_Outcome1" 38497.7864620644 50
"21" "M/0-64" 3 "I00-I99" "I00-99_Outcome1" 38952.9151691682 31
"22" "M/65-84" 3 "I00-I99" "I00-99_Outcome1" 62304.396263341 67
"23" "M/85+" 3 "I00-I99" "I00-99_Outcome1" 38807.2945506087 29
"31" "M/0-64" 4 "I00-I99" "I00-99_Outcome1" 77859.5665837848 59
"32" "M/65-84" 4 "I00-I99" "I00-99_Outcome1" 124395.809864425 88
"33" "M/85+" 4 "I00-I99" "I00-99_Outcome1" 77210.8805522593 89
"41" "M/0-64" 1 "I00-I99" "I00-99_Outcome2" 38990.0971584042 38
"42" "M/65-84" 1 "I00-I99" "I00-99_Outcome2" 62191.9216992178 60
"43" "M/85+" 1 "I00-I99" "I00-99_Outcome2" 38420.7629846947 42
"51" "M/0-64" 2 "I00-I99" "I00-99_Outcome2" 38965.1636459866 30
"52" "M/65-84" 2 "I00-I99" "I00-99_Outcome2" 62082.3944030577 67
"53" "M/85+" 2 "I00-I99" "I00-99_Outcome2" 38497.7864620644 44
"61" "M/0-64" 3 "I00-I99" "I00-99_Outcome2" 38952.9151691682 37
"62" "M/65-84" 3 "I00-I99" "I00-99_Outcome2" 62304.396263341 65
"63" "M/85+" 3 "I00-I99" "I00-99_Outcome2" 38807.2945506087 33
"71" "M/0-64" 4 "I00-I99" "I00-99_Outcome2" 77859.5665837848 70
"72" "M/65-84" 4 "I00-I99" "I00-99_Outcome2" 124395.809864425 126
"73" "M/85+" 4 "I00-I99" "I00-99_Outcome2" 77210.8805522593 78
"81" "M/0-64" 1 "G00-G99" "G00-99_Outcome1" 38990.0971584042 41
"82" "M/65-84" 1 "G00-G99" "G00-99_Outcome1" 62191.9216992178 62
"83" "M/85+" 1 "G00-G99" "G00-99_Outcome1" 38420.7629846947 31
"91" "M/0-64" 2 "G00-G99" "G00-99_Outcome1" 38965.1636459866 73
"92" "M/65-84" 2 "G00-G99" "G00-99_Outcome1" 62082.3944030577 105
"93" "M/85+" 2 "G00-G99" "G00-99_Outcome1" 38497.7864620644 84
"101" "M/0-64" 3 "G00-G99" "G00-99_Outcome1" 38952.9151691682 40
"102" "M/65-84" 3 "G00-G99" "G00-99_Outcome1" 62304.396263341 47
"103" "M/85+" 3 "G00-G99" "G00-99_Outcome1" 38807.2945506087 32
"111" "M/0-64" 4 "G00-G99" "G00-99_Outcome1" 77859.5665837848 56
"112" "M/65-84" 4 "G00-G99" "G00-99_Outcome1" 124395.809864425 120
"113" "M/85+" 4 "G00-G99" "G00-99_Outcome1" 77210.8805522593 73
"121" "M/0-64" 1 "G00-G99" "G00-99_Outcome2" 38990.0971584042 31
"122" "M/65-84" 1 "G00-G99" "G00-99_Outcome2" 62191.9216992178 63
"123" "M/85+" 1 "G00-G99" "G00-99_Outcome2" 38420.7629846947 50
"131" "M/0-64" 2 "G00-G99" "G00-99_Outcome2" 38965.1636459866 69
"132" "M/65-84" 2 "G00-G99" "G00-99_Outcome2" 62082.3944030577 77
"133" "M/85+" 2 "G00-G99" "G00-99_Outcome2" 38497.7864620644 55
"141" "M/0-64" 3 "G00-G99" "G00-99_Outcome2" 38952.9151691682 36
"142" "M/65-84" 3 "G00-G99" "G00-99_Outcome2" 62304.396263341 64
"143" "M/85+" 3 "G00-G99" "G00-99_Outcome2" 38807.2945506087 35
"151" "M/0-64" 4 "G00-G99" "G00-99_Outcome2" 77859.5665837848 84
"152" "M/65-84" 4 "G00-G99" "G00-99_Outcome2" 124395.809864425 108
"153" "M/85+" 4 "G00-G99" "G00-99_Outcome2" 77210.8805522593 103
"161" "M/0-64" 1 "G00-G99" "G00-99_Outcome3" 38990.0971584042 43
"162" "M/65-84" 1 "G00-G99" "G00-99_Outcome3" 62191.9216992178 69
"163" "M/85+" 1 "G00-G99" "G00-99_Outcome3" 38420.7629846947 38
"171" "M/0-64" 2 "G00-G99" "G00-99_Outcome3" 38965.1636459866 26
"172" "M/65-84" 2 "G00-G99" "G00-99_Outcome3" 62082.3944030577 68
"173" "M/85+" 2 "G00-G99" "G00-99_Outcome3" 38497.7864620644 38
"181" "M/0-64" 3 "G00-G99" "G00-99_Outcome3" 38952.9151691682 38
"182" "M/65-84" 3 "G00-G99" "G00-99_Outcome3" 62304.396263341 69
"183" "M/85+" 3 "G00-G99" "G00-99_Outcome3" 38807.2945506087 33
"191" "M/0-64" 4 "G00-G99" "G00-99_Outcome3" 77859.5665837848 79
"192" "M/65-84" 4 "G00-G99" "G00-99_Outcome3" 124395.809864425 137
"193" "M/85+" 4 "G00-G99" "G00-99_Outcome3" 77210.8805522593 92
"201" "M/0-64" 1 "Bleed" "Bleed_Outcome1" 38990.0971584042 33
"202" "M/65-84" 1 "Bleed" "Bleed_Outcome1" 62191.9216992178 73
"203" "M/85+" 1 "Bleed" "Bleed_Outcome1" 38420.7629846947 36
"211" "M/0-64" 2 "Bleed" "Bleed_Outcome1" 38965.1636459866 31
"212" "M/65-84" 2 "Bleed" "Bleed_Outcome1" 62082.3944030577 63
"213" "M/85+" 2 "Bleed" "Bleed_Outcome1" 38497.7864620644 37
"221" "M/0-64" 3 "Bleed" "Bleed_Outcome1" 38952.9151691682 39
"222" "M/65-84" 3 "Bleed" "Bleed_Outcome1" 62304.396263341 61
"223" "M/85+" 3 "Bleed" "Bleed_Outcome1" 38807.2945506087 36
"231" "M/0-64" 4 "Bleed" "Bleed_Outcome1" 77859.5665837848 79
"232" "M/65-84" 4 "Bleed" "Bleed_Outcome1" 124395.809864425 148
"233" "M/85+" 4 "Bleed" "Bleed_Outcome1" 77210.8805522593 66
"241" "M/0-64" 1 "Bleed" "Bleed_Outcome2" 38990.0971584042 49
"242" "M/65-84" 1 "Bleed" "Bleed_Outcome2" 62191.9216992178 76
"243" "M/85+" 1 "Bleed" "Bleed_Outcome2" 38420.7629846947 38
"251" "M/0-64" 2 "Bleed" "Bleed_Outcome2" 38965.1636459866 39
"252" "M/65-84" 2 "Bleed" "Bleed_Outcome2" 62082.3944030577 70
"253" "M/85+" 2 "Bleed" "Bleed_Outcome2" 38497.7864620644 39
"261" "M/0-64" 3 "Bleed" "Bleed_Outcome2" 38952.9151691682 38
"262" "M/65-84" 3 "Bleed" "Bleed_Outcome2" 62304.396263341 59
"263" "M/85+" 3 "Bleed" "Bleed_Outcome2" 38807.2945506087 36
"271" "M/0-64" 4 "Bleed" "Bleed_Outcome2" 77859.5665837848 76
"272" "M/65-84" 4 "Bleed" "Bleed_Outcome2" 124395.809864425 137
"273" "M/85+" 4 "Bleed" "Bleed_Outcome2" 77210.8805522593 72
"281" "M/0-64" 1 "Bleed" "Bleed_Outcome3" 38990.0971584042 16
"282" "M/65-84" 1 "Bleed" "Bleed_Outcome3" 62191.9216992178 53
"283" "M/85+" 1 "Bleed" "Bleed_Outcome3" 38420.7629846947 34
"291" "M/0-64" 2 "Bleed" "Bleed_Outcome3" 38965.1636459866 26
"292" "M/65-84" 2 "Bleed" "Bleed_Outcome3" 62082.3944030577 68
"293" "M/85+" 2 "Bleed" "Bleed_Outcome3" 38497.7864620644 39
"301" "M/0-64" 3 "Bleed" "Bleed_Outcome3" 38952.9151691682 35
"302" "M/65-84" 3 "Bleed" "Bleed_Outcome3" 62304.396263341 47
"303" "M/85+" 3 "Bleed" "Bleed_Outcome3" 38807.2945506087 45
"311" "M/0-64" 4 "Bleed" "Bleed_Outcome3" 77859.5665837848 55
"312" "M/65-84" 4 "Bleed" "Bleed_Outcome3" 124395.809864425 112
"313" "M/85+" 4 "Bleed" "Bleed_Outcome3" 77210.8805522593 71
"321" "M/0-64" 1 "Bleed" "Bleed_Outcome4" 38990.0971584042 35
"322" "M/65-84" 1 "Bleed" "Bleed_Outcome4" 62191.9216992178 76
"323" "M/85+" 1 "Bleed" "Bleed_Outcome4" 38420.7629846947 45
"331" "M/0-64" 2 "Bleed" "Bleed_Outcome4" 38965.1636459866 41
"332" "M/65-84" 2 "Bleed" "Bleed_Outcome4" 62082.3944030577 78
"333" "M/85+" 2 "Bleed" "Bleed_Outcome4" 38497.7864620644 51
"341" "M/0-64" 3 "Bleed" "Bleed_Outcome4" 38952.9151691682 32
